"Authors","Author full names","Author(s) ID","Title","Year","Link","EID"
"Cervantes-Jilaja C.; Bernedo-Flores L.; Morales-Muñoz E.; Patiño-Escarcina R.E.; Barrios-Aranibar D.; Ripas-Mamani R.; Valera H.H.A.","Cervantes-Jilaja, Claudia (57188957976); Bernedo-Flores, Liz (57211500575); Morales-Muñoz, Elizabeth (57211502100); Patiño-Escarcina, Raquel E. (22433371000); Barrios-Aranibar, Dennis (15844905100); Ripas-Mamani, Roger (57193058620); Valera, Hernan Humberto Álvarez (57211498938)","57188957976; 57211500575; 57211502100; 22433371000; 15844905100; 57193058620; 57211498938","Optimal Selection and Identification of Defects in Chestnuts Processing, through Computer Vision, Taking Advantage of its Inherent Characteristics","2019","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074195061&doi=10.1109%2fETFA.2019.8869034&partnerID=40&md5=53d51d5e40ddd055431c244626702e00","2-s2.0-85074195061"
"Jorge V.A.M.; Granada R.; Maidana R.G.; Jurak D.A.; Heck G.; Negreiros A.P.F.; dos Santos D.H.; Gonçalves L.M.G.; Amory A.M.","Jorge, Vitor A. M. (36175720000); Granada, Roger (27567732800); Maidana, Renan G. (57202464093); Jurak, Darlan A. (57205746473); Heck, Guilherme (55315861700); Negreiros, Alvaro P. F. (56131277200); dos Santos, Davi H. (57190606005); Gonçalves, Luiz M. G. (58069927800); Amory, Alexandre M. (8293027500)","36175720000; 27567732800; 57202464093; 57205746473; 55315861700; 56131277200; 57190606005; 58069927800; 8293027500","A survey on unmanned surface vehicles for disaster robotics: Main challenges and directions","2018","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061386877&doi=10.3390%2fs19030702&partnerID=40&md5=fa8e9f4a3d551eccd2c33ab58c4d3537","2-s2.0-85061386877"
"da Silva Cortez D.E.; de Morais Barroca Filho I.; Silva E.M.C.; Girão G.","da Silva Cortez, Diogo Eugênio (57845338800); de Morais Barroca Filho, Itamir (56295334600); Silva, Everson Mizael Cortez (57202760021); Girão, Gustavo (23134483300)","57845338800; 56295334600; 57202760021; 23134483300","Traffic Control System Development Based on Computer Vision","2022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135948824&doi=10.1007%2f978-3-031-10548-7_24&partnerID=40&md5=a2831755c3eb6f4c440a59bc10f473eb","2-s2.0-85135948824"
"Moreira M.W.L.; Rodrigues J.J.P.C.; Marcondes G.A.B.; Neto A.J.V.; Kumar N.; Diez I.D.L.T.","Moreira, Mario W. L. (57190583665); Rodrigues, Joel J. P. C. (25930566300); Marcondes, Guilherme A. B. (15072077700); Neto, Augusto J. Venancio (35105652600); Kumar, Neeraj (57206866080); Diez, Isabel De La Torre (55665183400)","57190583665; 25930566300; 15072077700; 35105652600; 57206866080; 55665183400","A Preterm Birth Risk Prediction System for Mobile Health Applications Based on the Support Vector Machine Algorithm","2018","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051439263&doi=10.1109%2fICC.2018.8422616&partnerID=40&md5=d2ba363c07a3a408ea38523a9a9b6a40","2-s2.0-85051439263"
"Fonseca G.A.; Ferreira D.D.; Costa F.B.; Almeida A.R.","Fonseca, Gabriel A. (57221801082); Ferreira, Danton D. (23977842900); Costa, Flávio B. (22333585200); Almeida, Aryfrance R. (55254352600)","57221801082; 23977842900; 22333585200; 55254352600","Fault Classification in Transmission Lines Using Random Forest and Notch Filter","2022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118578884&doi=10.1007%2fs40313-021-00844-4&partnerID=40&md5=9a79f797b42003a07f7b5eeccac2151a","2-s2.0-85118578884"
"Dimuro G.P.; Fernández J.; Bedregal B.; Mesiar R.; Sanz J.A.; Lucca G.; Bustince H.","Dimuro, Graçaliz Pereira (6508226260); Fernández, Javier (57198957963); Bedregal, Benjamín (15520790700); Mesiar, Radko (7004621213); Sanz, José Antonio (35113807900); Lucca, Giancarlo (55799672700); Bustince, Humberto (55034746100)","6508226260; 57198957963; 15520790700; 7004621213; 35113807900; 55799672700; 55034746100","The state-of-art of the generalizations of the Choquet integral: From aggregation and pre-aggregation to ordered directionally monotone functions","2020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075309330&doi=10.1016%2fj.inffus.2019.10.005&partnerID=40&md5=81881fca2480155fa481e5fa7f13fd93","2-s2.0-85075309330"
"Pinho T.M.; Coelho J.P.; Oliveira J.; Boaventura-Cunha J.","Pinho, Tatiana M. (56367249000); Coelho, Joao Paulo (55137039300); Oliveira, Josenalde (7202553856); Boaventura-Cunha, Jose (6507358470)","56367249000; 55137039300; 7202553856; 6507358470","An overview on visual sensing for automatic control on smart farming and forest management","2018","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057339511&doi=10.1109%2fCONTROLO.2018.8514543&partnerID=40&md5=52f2f21ea6676c65c4f85966f1568805","2-s2.0-85057339511"
"De Araújo A.P.D.; Daniel D.H.J.; Guerra R.; Brandão D.N.; Vasconcellos E.C.; Negreiros A.P.F.; Clua E.W.G.; Gonçalves L.M.G.; Preux P.","De Araújo, André Paulo Dantas (56027748600); Daniel, Dickson H. J. (58663695700); Guerra, Raphael (24830143300); Brandão, Diego N. (32867459900); Vasconcellos, Eduardo Charles (57190228134); Negreiros, Alvaro P. F. (56131277200); Clua, Esteban W. Gonzalez (24450364400); Gonçalves, Luiz M. G. (58069927800); Preux, Philippe (7005931096)","56027748600; 58663695700; 24830143300; 32867459900; 57190228134; 56131277200; 24450364400; 58069927800; 7005931096","General System Architecture and COTS Prototyping of an AIoT-Enabled Sailboat for Autonomous Aquatic Ecosystem Monitoring","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174819098&doi=10.1109%2fJIOT.2023.3324525&partnerID=40&md5=3fce6c504d51df6cc2b438604131ea6a","2-s2.0-85174819098"
"Severino A.G.V.; de Lima J.M.M.; de Araújo F.M.U.","Severino, Alcemy Gabriel Vitor (56895829500); de Lima, Jean Mário Moreira (57897186700); de Araújo, Fábio Meneghetti Ugulino (35316777100)","56895829500; 57897186700; 35316777100","Industrial Soft Sensor Optimized by Improved PSO: A Deep Representation-Learning Approach","2022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138400061&doi=10.3390%2fs22186887&partnerID=40&md5=2bb684b5aabd6c76f68f35fe639192b1","2-s2.0-85138400061"
"de Lima B.V.A.; Neto A.D.D.; Silva L.E.S.; Machado V.P.","de Lima, Bruno Vicente Alves (55600716600); Neto, Adrião Duarte Dória (7102618949); Silva, Lúcia Emília Soares (57223368591); Machado, Vinicius Ponte (25626729300)","55600716600; 7102618949; 57223368591; 25626729300","Deep semi-supervised classification based in deep clustering and cross-entropy","2021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105750217&doi=10.1002%2fint.22446&partnerID=40&md5=44ec39aefbfd0c66914965afeb8d744a","2-s2.0-85105750217"
"Linhares L.L.S.; Araújo J.M., Jr.; Araújo F.M.U.; Yoneyama T.","Linhares, Leandro L.S. (56028590400); Araújo, José M. (59159775600); Araújo, Fábio M.U. (35316777100); Yoneyama, Takashi (7202091914)","56028590400; 59159775600; 35316777100; 7202091914","A nonlinear system identification approach based on Fuzzy Wavelet Neural Network","2015","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84920069887&doi=10.3233%2fIFS-141293&partnerID=40&md5=cd28dcf326c347cf47d1b3dfb8819fae","2-s2.0-84920069887"
"Moreira de Lima J.M.; Ugulino de Araujo F.M.","Moreira de Lima, Jean Mario (57223363552); Ugulino de Araujo, Fabio Meneghetti (35316777100)","57223363552; 35316777100","Ensemble deep relevant learning framework for semi-supervised soft sensor modeling of industrial processes","2021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113677706&doi=10.1016%2fj.neucom.2021.07.086&partnerID=40&md5=01a99420ff7b0bd8f858a22716b26d66","2-s2.0-85113677706"
